id,title,verdict,chosen_clip,vendor_stem,confidence,why
fedb_box_squat_with_bands,Box Squat with Bands,none,,,1.0,"No candidate includes both barbell, box, and resistance bands."
fedb_box_squat_with_chains,Box Squat with Chains,none,,,0.9,chains are absent from the library
cable_chest_press,Cable Chest Press,none,,,1.0,Different equipment or different movement.
cable_deadlifts,Cable Deadlifts,none,,,1.0,Different equipment or named variant.
cable_hammer_curls_rope_attachment,Cable Hammer Curls - Rope Attachment,none,,,1.0,"Different equipment, movement, or named variant."
vid_cable_one_arm_twisting_seated_row,Cable One-Arm Twisting Seated Row,none,,,1.0,Twisting is a named variant not in candidate.
vid_cable_pulldown,Cable Pulldown - Close Underhand Grip,none,,,1.0,No candidate specifies both close and underhand grip.
vid_cable_rear_delt_row_with_rope,Cable Rear Delt Row with a Rope,none,,,1.0,No candidate matches 'rear delt row' and 'rope' attachment.
vid_cable_pushdown_rope_attachment,Cable Rope Pushdown,none,,,1.0,Specific rope attachment and neutral grip not matched by candidates.
fedb_cable_russian_twists,Cable Russian Twists,none,,,1.0,Different equipment or body position; 'Cable Twist' is too generic.
vid_cable_seated_high_row_v_bar,Cable Seated High Row - V-Bar,none,,,1.0,No candidate specifies both high row and V-bar.
vid_cable_seated_row_parallel_grip,Cable Seated Row - Parallel Grip,none,,,1.0,"V-bar is a specific handle, not generic parallel grip."
vid_cable_seated_row_wide_grip,Cable Seated Row - Wide Grip,none,,,1.0,No candidate specifies 'wide grip' for a cable seated row.
fedb_cable_shoulder_press,Cable Shoulder Press,none,,,0.0,No candidate matches a standard standing cable shoulder press.
vid_cable_standing_lift,Cable Standing Lift,none,,,0.9,a twisting pull is a different movement
vid_cable_standing_one_arm_triceps_extension,Cable Standing One-Arm Triceps Extension,none,,,1.0,No candidate matches one-arm cable triceps pushdown with supinated grip.
fedb_calf_raise_on_a_dumbbell,Calf Raise On A Dumbbell,none,,,0.0,No clip for standing on a dumbbell handle for calf raise.
vid_stretching_chin_to_chest_stretch,Chin-to-Chest Stretch,none,,,1.0,Eagle Arms is a named variant with different arm position.
fedb_close-grip_dumbbell_press,Close-Grip Dumbbell Press,none,,,1.0,"Unique single dumbbell, two-hand grip, and body position not matched."
fedb_cross_over_-_with_bands,Cross Over - With Bands,none,,,0.0,No candidate matches a standing resistance band chest crossover/fly.
vid_crunch_on_bench,Crunch on a Bench,none,,,1.0,All crunch candidates use different equipment or variants.
fedb_decline_close-grip_bench_to_skull_crusher,Decline Close-Grip Bench To Skull Crusher,none,,,1.0,"No candidate combines decline, close-grip, bench press, and skull crusher with b"
fedb_decline_dumbbell_triceps_extension,Decline Dumbbell Triceps Extension,none,,,1.0,"Decline body position is a specific variant, not matched by candidates."
fedb_decline_ez_bar_triceps_extension,Decline EZ Bar Triceps Extension,none,,,1.0,Decline position is different from general lying position.
fedb_double_kettlebell_alternating_hang_clean,Double Kettlebell Alternating Hang Clean,none,,,0.0,No candidate matches double kettlebell alternating hang clean.
fedb_double_kettlebell_jerk,Double Kettlebell Jerk,none,,,0.0,No candidate matches double kettlebell jerk movement.
fedb_double_kettlebell_push_press,Double Kettlebell Push Press,none,,,0.0,No double kettlebell push press. Dumbbell push press is different equipment.
fedb_double_kettlebell_snatch,Double Kettlebell Snatch,none,,,0.0,No double kettlebell snatch. Single kettlebell snatch is different.
fedb_double_kettlebell_windmill,Double Kettlebell Windmill,none,,,0.9,"Double Kettlebell implies two KBs, candidate is single KB."
vid_dumbbell_behind_back_wrist_curl,Dumbbell Behind-the-Back Wrist Curl,none,,,1.0,"No candidate specifies dumbbell, behind-back, and pronated grip."
fedb_dumbbell_bench_press_with_neutral_grip,Dumbbell Bench Press with Neutral Grip,none,,,1.0,"Neutral grip is a specific variant, not generic bench press."
vid_dumbbell_fly_on_exercise_ball,Dumbbell Fly on an Exercise Ball,none,,,1.0,No exact match for flat dumbbell fly on exercise ball.
vid_dumbbell_lying_alternate_extension,Dumbbell Lying Alternating Triceps Extension,none,,,1.0,Alternating is a specific variant not found in candidates.
vid_dumbbell_lying_hammer_press,Dumbbell Lying Hammer Press,none,,,1.0,No exact match for flat bench hammer press.
vid_dumbbell_lying_femoral,Dumbbell Lying Leg Curl,none,,,1.0,No dumbbell lying leg curl match; equipment differs.
vid_dumbbell_palm_rotational_bent_over_row,Dumbbell Palm-Rotational Bent-Over Row,none,,,1.0,No dumbbell bent-over row candidate specifies palm rotation.
fedb_extended_range_one-arm_kettlebell_floor_press,Extended Range One-Arm Kettlebell Floor Press,none,,,1.0,No kettlebell one-arm floor press; 'extended range' is a variant.
vid_stretching_feet_and_ankles_stretch,Feet and Ankle Stretch,none,,,1.0,"No match for specific kneeling, tops-of-feet stretch"
full_range_of_motion_lat_pulldown,Full Range-Of-Motion Lat Pulldown,none,,,1.0,"No candidate matches specific setup (crisscrossed arms, hand rotation)."
fedb_glute_ham_raise,Glute Ham Raise,none,,,1.0,"Specific machine exercise, no match found."
fedb_glute_kickback,Glute Kickback,none,,,1.0,All kickback candidates use equipment or are standing.
fedb_hammer_grip_incline_db_bench_press,Hammer Grip Incline DB Bench Press,none,,,1.0,"Hammer grip is a specific variant, not generic incline press."
vid_hammer_grip_pull_up,Hammer-Grip Pull-Up,none,,,1.0,Assisted/close grip are variants/different equipment.
fedb_heavy_bag_thrust,Heavy Bag Thrust,none,,,1.0,No candidate matches the rotational heavy bag pushing movement.
fedb_hip_extension_with_bands,Hip Extension with Bands,none,,,0.0,"No candidate matches a standing, upright resistance band hip extension."
fedb_hyperextensions_with_no_hyperextension_bench,Hyperextensions With No Hyperextension Bench,none,,,1.0,"Specific setup (flat bench, no hyperextension bench) not matched."
fedb_incline_bench_pull,Incline Bench Pull,none,,,1.0,No candidate matches an incline dumbbell pull/row; band version uses different e
fedb_incline_cable_chest_press,Incline Cable Chest Press,none,,,1.0,"No candidate matches incline, cable, and chest press."
vid_incline_leg_hip_raise,Incline Leg Hip Raise,none,,,0.9,No candidate matches incline bench and hip lift.
treadmill_incline_walk,Incline Walk,none,,,1.0,No candidate specifies 'incline' for treadmill walking.
vid_inverted_row_between_chairs,Inverted Row Between Chairs,none,,,1.0,All inverted row candidates use different equipment.
vid_jump_step_up,Jump Step-Up,none,,,1.0,No candidate matches plyometric step-up with leg swap.
fedb_kipping_muscle_up,Kipping Muscle Up,none,,,1.0,Kipping is a variant; 'Bodyweight Muscle-up' is strict; 'Kipping Pull Up' is dif
fedb_knee_hip_raise_on_parallel_bars,Knee/Hip Raise On Parallel Bars,none,,,1.0,Specific equipment (parallel bars) and body position not matched.
vid_stretching_kneeling_back_rotation_stretch,Kneeling Back Rotation Stretch,none,,,0.9,Specific kneeling position and arm placement not matched.
vid_landmine_180,Landmine 180,none,,,0.8,No candidate matches specific 180-degree landmine rotational swing.
vid_leg_raise_hip_lift,Leg Raise Hip Lift,none,,,1.0,No candidate matches hip lift from vertical leg position.
leverage_iso_row,Leverage Iso Row,none,,,1.0,No candidate matches leverage machine iso row.
vid_lying_hip_lift_on_stability_ball,Lying Hip Lift on a Stability Ball,none,,,1.0,No candidate is solely a hip lift on a stability ball.
fedb_lying_machine_squat,Lying Machine Squat,none,,,1.0,No candidate matches a lying machine squat movement.
lying_t_bar_row,Lying T-Bar Row,none,,,1.0,Different equipment (barbell vs T-bar machine).
fedb_machine_bicep_curl,Machine Bicep Curl,none,,,1.0,"Different equipment (machine vs. cable, barbell, dumbbell)."
fedb_machine_preacher_curls,Machine Preacher Curls,none,,,0.0,All preacher curl candidates use different primary equipment.
vid_lever_reverse_t_bar_row,Machine Reverse-Grip T-Bar Row,none,,,1.0,No machine T-bar row with reverse grip.
vid_lever_seated_leg_raise_crunch,Machine Seated Leg Raise Crunch,none,,,0.9,"No candidate matches machine, seated, simultaneous leg raise crunch."
fedb_machine_shoulder_military_press,Machine Shoulder (Military) Press,none,,,1.0,No candidate is a machine shoulder press with handles.
vid_lever_shrug,Machine Shrug,none,,,1.0,No candidate matches machine shrug; all use different equipment or are variants.
vid_lever_standing_rear_kick,Machine Standing Rear Kick,none,,,1.0,No machine standing rear kick match; equipment/position differs.
vid_lever_t_bar_row,Machine T-Bar Row,none,,,1.0,No machine T-bar row candidate found.
fedb_medicine_ball_chest_pass,Medicine Ball Chest Pass,none,,,1.0,"'With Abs' is a named variant, making it a different exercise."
fedb_medicine_ball_full_twist,Medicine Ball Full Twist,none,,,1.0,No candidate matches the specific partner-based twisting movement.
fedb_medicine_ball_scoop_throw,Medicine Ball Scoop Throw,none,,,1.0,'Scoop' and 'backward' are specific variants not matched.
vid_medicine_ball_sit_up_wall,Medicine Ball Wall Sit-Up,none,,,0.7,Wall target is specific; candidate is too generic.
narrow_stance_hack_squats,Narrow Stance Hack Squats,none,,,1.0,Narrow stance is a named variant.
fedb_one_arm_chin-up,One Arm Chin-Up,none,,,1.0,Unilateral variant is different; all others are different movements/equipment.
fedb_one-arm_medicine_ball_slam,One-Arm Medicine Ball Slam,none,,,1.0,"'One-Arm' is a unilateral variant, making it a different exercise."
vid_otis_ups,Otis-Up,none,,,1.0,No candidate includes the overhead plate press.
vid_stretching_peroneals_stretch,Peroneals Stretch,none,,,1.0,No candidate matches peroneal stretch with foot inversion.
vid_corkscrew_pilates,Pilates Corkscrew,none,,,1.0,No candidate matches the specific leg circling movement.
vid_hundred_pilates,Pilates Hundred,none,,,1.0,No candidate matches specific Pilates Hundred movement.
vid_jackknife_pilates,Pilates Jackknife,none,,,1.0,No candidate matches specific inverted Pilates Jackknife movement.
fedb_plate_pinch,Plate Pinch,none,,,1.0,Exercise is a static hold; all candidates are dynamic movements.
vid_pull_up_wide_back_grip,Pull-Up - Wide Grip Behind the Neck,none,,,1.0,Pulldown is not a pull-up.
fedb_rack_delivery,Rack Delivery,none,,,1.0,No candidate matches the specific 'rack delivery' movement.
vid_rear_decline_bridge,Rear Decline Bridge,none,,,1.0,No bodyweight decline bridge match; decline position missing.
fedb_recumbent_bike,Recumbent Bike,none,,,1.0,No candidate specifically describes a recumbent bike.
fedb_reverse_band_box_squat,Reverse Band Box Squat,none,,,0.9,reverse-band accommodating resistance is absent from the library
vid_stretching_reverse_dip,Reverse Dip Stretch,none,,,1.0,Specific bench dip stretch; no matching clip.
fedb_reverse_hyperextension,Reverse Hyperextension,none,,,1.0,"Specific machine exercise, no match found."
fedb_reverse_plate_curls,Reverse Plate Curls,none,,,0.0,No clip matches equipment (plate) and exact movement.
vid_reverse_grip_pull_up,Reverse-Grip Pull-Up,none,,,0.9,the candidate is WIDE grip; ours is shoulder width (same call as the 48)
fedb_rocking_standing_calf_raise,Rocking Standing Calf Raise,none,,,1.0,rocking is heel-to-toe; the candidate is a loaded barbell calf raise
rocky_pull_ups_pulldowns,Rocky Pull-Ups/Pulldowns,none,,,1.0,rocky pull-ups alternate front and behind the neck; a wide-grip pull-up is not that
fedb_rope_climb,Rope Climb,none,,,1.0,No candidate describes vertical rope climbing movement.
vid_scapula_dips,Scapular Dip,none,,,1.0,Scapular dip requires straight arms; all dip candidates bend elbows.
fedb_scapular_pull-up,Scapular Pull-Up,none,,,1.0,"All candidates are full pull-ups, different equipment, or different movements."
fedb_seated_band_hamstring_curl,Seated Band Hamstring Curl,none,,,0.9,Candidate 'Resistance Band Leg Curl' does not specify 'seated' position.
vid_stretching_seated_lower_back_stretch,Seated Lower Back Stretch,none,,,1.0,No clip matches seated forward bend with rounded lower back.
vid_seated_twist_straight_arm,Seated Twist - Straight Arm,none,,,1.0,"No candidate matches body position, equipment, and movement."
vid_stretching_seated_twist_straight_arm,Seated Twist Stretch - Straight Arm,none,,,1.0,No candidate matches the specific straight-arm seated twist.
vid_stretching_seated_wide_angle_pose_sequence,Seated Wide Angle Pose Sequence,none,,,1.0,No clip matches seated wide-angle forward fold from hips.
vid_side_bend_on_stability_ball,Side Bend on a Stability Ball,none,,,1.0,No candidate matches the specific equipment and movement.
vid_stretching_single_leg_stretch_bent_knee,Single Leg Stretch - Bent Knee,none,,,0.0,No candidate matches dynamic alternating bent-knee stretch.
vid_stretching_single_straight_leg_stretch,Single Straight Leg Stretch,none,,,0.0,No candidate matches dynamic pulsing/scissoring straight leg stretch.
fedb_single-arm_cable_crossover,Single-Arm Cable Crossover,none,,,1.0,Unilateral variant not matched by any candidate.
vid_stretching_sitting_bent_over_back_stretch,Sitting Bent-Over Back Stretch,none,,,1.0,No clip matches seated forward fold with legs extended and rounded back.
ski_erg_intervals,Ski Erg Intervals,none,,,0.0,"Exercise is an interval pattern, not just basic pull."
sled_drag_harness,Sled Drag - Harness,none,,,1.0,No candidate matches specific harness equipment or simple drag.
sled_overhead_backward_walk,Sled Overhead Backward Walk,none,,,1.0,"No candidate matches sled, overhead, and backward walk."
fedb_smith_incline_shoulder_raise,Smith Incline Shoulder Raise,none,,,0.8,a raise is not a press
fedb_smith_machine_behind_the_back_shrug,Smith Machine Behind the Back Shrug,none,,,1.0,No candidate is a smith machine behind the back shrug.
fedb_smith_machine_bent_over_row,Smith Machine Bent Over Row,none,,,1.0,Different equipment or different movement for all candidates.
vid_smith_deadlift_deadlift,Smith Machine Deadlift,none,,,1.0,No Smith Machine Deadlift clip found.
vid_spell_caster,Spell Caster,none,,,1.0,No candidate matches the specific rotational dumbbell swing.
vid_stretching_spine_stretch_forward,Spine Stretch Forward,none,,,1.0,No clip matches seated forward fold with legs slightly wide and spinal articulat
vid_jack_split_crunches,Split Jackknife Crunch,none,,,1.0,No candidate matches unilateral straight-leg jackknife crunch.
fedb_stairmaster,Stairmaster,none,,,1.0,No candidate matches stair climbing machine movement.
vid_stretching_standing_bench_calf_stretch,Standing Bench Calf Stretch,none,,,1.0,No candidate matches standing calf stretch using a bench.
fedb_standing_cable_chest_press,Standing Cable Chest Press,none,,,1.0,"No candidate matches standing, cable, and chest press."
vid_stretching_knee_raise,Standing Knee Raise,none,,,1.0,No candidate matches standing knee to chest hold.
fedb_standing_leg_curl,Standing Leg Curl,none,,,1.0,No standing leg curl machine; band version is different equipment.
vid_stretching_standing_reach_up_back_rotation_stretch,Standing Reach-Up Back Rotation Stretch,none,,,0.9,"Specific standing, reach-up, and rotation not matched."
fedb_stride_jump_crossover,Stride Jump Crossover,none,,,0.9,a lateral box jump is a different movement
vid_triceps_dips,Triceps Dip,none,,,0.9,Different equipment or named variant (chest dip).
vid_weighted_leg_extension_crunch,Weighted Leg Extension Crunch,none,,,1.0,"No candidate combines weighted, leg extension, and crunch."
vid_weighted_lying_twist,Weighted Lying Twist,none,,,1.0,"Weighted exercise, no candidate specifies weight for lying twist."
vid_stretching_wrist_circles,Wrist Circles,none,,,1.0,No candidate describes wrist circles; others are curls/extensions or arm circles
fedb_wrist_roller,Wrist Roller,none,,,1.0,No candidate uses a wrist roller or matches the rolling motion.
fedb_ab_roller,Ab Roller,proposed,AB Wheel All The Way out,ab all way wheel,1.0,guard flagged 'adds equipment ['wheel']'; judged the same exercise
advanced_kettlebell_windmill,Advanced Kettlebell Windmill,proposed,Kettlebell Windmill,kettlebell windmill,1.0,"'Advanced' describes execution, not a different movement pattern."
air_bike_steady,Air Bike Steady Effort,proposed,air bike,air bike,1.0,Generic air bike clip matches steady pace.
alternate_hammer_curl,Alternate Hammer Curl,proposed,Alternate hammer curl standing dumbbells,alternate curl dumbbell hammer standing,1.0,guard flagged 'adds equipment ['dumbbell']'; judged the same exercise
alternate_heel_touchers,Alternate Heel Touchers,proposed,Alternate heel touches,alternate heel touches,1.0,Exact name and movement match for alternating heel touches.
alternating_kettlebell_press,Alternating Kettlebell Press,proposed,Kettlebell Seesaw Press,kettlebell press seesaw,1.0,Exact match for alternating overhead press with kettlebells
alternating_kettlebell_row,Alternating Kettlebell Row,proposed,Kettlebell Gorilla Row,gorilla kettlebell row,1.0,Exact match for alternating bent-over row with two kettlebells
vid_sit_up,Anchored Sit-Up,proposed,Situps,sit,1.0,"Instructions describe a standard sit-up, which 'Situps' represents."
anti_gravity_press,Anti-Gravity Press,proposed,EZ Barbell Anti Gravity Press,anti barbell ezbar gravity press,1.0,"guard flagged 'adds equipment ['barbell', 'ezbar']'; judged the same exercise"
around_the_worlds,Around The Worlds,proposed,Dumbbell Around The World,around dumbbell world,1.0,guard flagged 'adds equipment ['dumbbell']'; judged the same exercise
fedb_back_flyes_-_with_bands,Back Flyes - With Bands,proposed,Band Reverse Fly,band fly reverse,1.0,guard flagged 'adds variant ['reverse']'; judged the same exercise
fedb_band_assisted_pull-up,Band Assisted Pull-Up,proposed,Band Pull Up,band pull,1.0,Band Pull Up is synonymous with Band Assisted Pull-Up.
vid_band_bent_over_rear_lateral_raise,Band Bent-Over Rear Lateral Raise,proposed,bent over rear deltoid fly resistance band,band bent deltoid fly over rear resistance,1.0,guard flagged 'adds equipment ['resistance']'; judged the same exercise
vid_band_hip_abduction,Band Hip Abduction,proposed,Resistance Band Standing Hip Abduction,abduction band hip resistance standing,1.0,guard flagged 'adds equipment ['resistance']'; judged the same exercise
vid_band_kneeling_one_arm_pulldown,Band Kneeling One-Arm Pulldown,proposed,band kneeling lat pulldown,band down kneeling lat pull,1.0,"Exact match for band, kneeling, and pulldown."
vid_band_one_leg_kickback_bent_position,Band One-Leg Kickback,proposed,Resistance Band One Leg Kickback (Bent Position),band bent kickback leg one position resistance,1.0,guard flagged 'adds equipment ['resistance']'; judged the same exercise
vid_band_overhead_triceps_extension,Band Overhead Triceps Extension,proposed,overhead extension resistance band both arms,arm band both extension overhead resistance,1.0,guard flagged 'adds equipment ['resistance']'; judged the same exercise
vid_band_pull_through,Band Pull Through,proposed,Band Pullthrough,band pullthrough,1.0,Exact match in name and equipment.
barbell_ab_rollout,Barbell Ab Rollout,proposed,Barbell rollout,barbell rollout,1.0,Generic name matches the standard barbell rollout movement.
barbell_ab_rollout_on_knees,Barbell Ab Rollout - On Knees,proposed,Barbell rollout,barbell rollout,1.0,Generic name matches the standard barbell rollout movement.
vid_barbell_bent_over_row_overgrip,Barbell Bent-Over Row - Overhand Grip,proposed,Barbell bent over row pronated grip,barbell bent grip over pronated row,1.0,"Exact match in equipment, movement, and grip."
vid_barbell_underhand_bent_over_row,Barbell Bent-Over Row - Underhand Grip,proposed,Barbell Underhand Bent over Row,barbell bent over row underhand,1.0,"Exact match in equipment, movement, and grip."
vid_barbell_reverse_wrist_curl_over_grip,Barbell Reverse Wrist Curl - Overhand Grip,proposed,barbell palm down wrist curl over a bench,barbell bench curl down over palm wrist,1.0,guard flagged 'adds equipment ['bench']'; judged the same exercise
vid_barbell_seated_behind_head_military_press,Barbell Seated Behind-the-Head Press,proposed,Barbell seated behind neck military press,barbell behind military neck press seated,1.0,Direct synonym match for 'behind-the-head' and 'military press'.
fedb_barbell_seated_calf_raise,Barbell Seated Calf Raise,proposed,barbell seated on knee calve raises,barbell calve knee raise seated,1.0,guard flagged 'adds variant ['knee']'; judged the same exercise
fedb_barbell_shoulder_press,Barbell Shoulder Press,proposed,seated shoulder press barbell,barbell press seated shoulder,1.0,guard flagged 'adds variant ['seated']'; judged the same exercise
vid_barbell_standing_back_wrist_curl,Barbell Standing Behind-the-Back Wrist Curl,proposed,Barbell standing back wrist curl,back barbell curl standing wrist,1.0,"Matches equipment, position, and movement exactly."
fedb_battling_ropes,Battling Ropes,proposed,Battle Rope Alternating Arm Waves,alternating arm battle rope waves,1.0,guard flagged 'adds variant ['arm']'; judged the same exercise
vid_stretching_back_pec_stretch,Behind-the-Back Pec Stretch,proposed,Arms Behind Back Chest Stretch,arm back behind chest stretch,1.0,"guard flagged 'adds variant ['arm', 'chest']'; judged the same exercise"
fedb_bench_jump,Bench Jump,proposed,box jump,box jump,1.0,guard flagged 'adds equipment ['box']'; judged the same exercise
fedb_bent_over_dumbbell_rear_delt_raise_with_head_on_bench,Bent Over Dumbbell Rear Delt Raise With Head On Bench,proposed,bent over rear delt fly dumbbell,bent delt dumbbell fly over rear,0.9,guard flagged 'adds movement ['fly']'; judged the same exercise
bent_over_low_pulley_side_lateral,Bent Over Low-Pulley Side Lateral,proposed,Cable Bent Over One Arm Lateral Raise,arm bent cable lateral one over raise,1.0,guard flagged 'adds equipment ['cable']'; judged the same exercise
fedb_bent-knee_hip_raise,Bent-Knee Hip Raise,proposed,Flat Knee Raise,flat knee raise,0.9,"Lying, bent knees, raising hips off floor."
fedb_bicycling_stationary,"Bicycling, Stationary",proposed,Stationary Exercise Bike,bike stationary,1.0,Direct match for stationary bicycling exercise.
fedb_box_jump_multiple_response,Box Jump (Multiple Response),proposed,box jump,box jump,1.0,"Standard box jump, 'multiple response' implies repetition."
box_squat,Box Squat,proposed,Barbell box squat,barbell box squat,1.0,guard flagged 'adds equipment ['barbell']'; judged the same exercise
fedb_butt_lift_bridge,Butt Lift (Bridge),proposed,Glute Bridge Bodyweight,bodyweight bridge glutes,1.0,Standard bodyweight glute bridge movement.
cable_crossover,Cable Crossover,proposed,Cable Upper Chest Crossover,cable chest crossover upper,0.9,"guard flagged 'adds variant ['chest', 'upper']'; judged the same exercise"
cable_crunch,Cable Crunch,proposed,high cable kneeling crunch,cable crunch high kneeling,1.0,"guard flagged 'adds variant ['high', 'kneeling']'; judged the same exercise"
vid_cable_rope_high_pulley_overhead_triceps_extension,Cable High-Pulley Overhead Rope Extension,proposed,cable overhead extension rope,cable extension overhead rope,1.0,"Matches equipment, attachment, movement, and overhead position."
vid_cable_bar_lateral_pulldown_reverse_grip,Cable Lat Pulldown - Reverse Grip,proposed,reverse grip lat pull down,down grip lat pull reverse,1.0,"Exact match for equipment, movement, and grip."
vid_cable_bar_lateral_pulldown_wide_shoulder_grip,Cable Lat Pulldown - Wide Grip,proposed,lat pull down wide grip,down grip lat pull wide,1.0,Direct match for lat pulldown and wide grip.
vid_cable_lying_fly_flat_bench_cable_fly,Cable Lying Fly on a Flat Bench,proposed,flat bench cable fly,bench cable flat fly,1.0,Exact name match for exercise description.
vid_cable_one_arm_lateral_raise,Cable One-Arm Lateral Raise,proposed,lateral raises on cable machine,cable lateral machine raise,0.9,guard flagged 'adds equipment ['machine']'; judged the same exercise
vid_cable_overhead_triceps_extension_rope_attachment,Cable Overhead Triceps Extension - Rope,proposed,cable overhead extension rope,cable extension overhead rope,1.0,"Exact match for equipment, movement, and attachment type."
vid_cable_seated_row_normal_grip,Cable Seated Row - Normal Grip,proposed,straight bar cable row normal grip,bar cable grip normal row straight,1.0,"Direct match for cable row, normal grip, straight bar."
vid_cable_straight_back_seated_row_v_grip,Cable Straight-Back Seated Row - V-Grip,proposed,seated cable row V bar machine,bar cable machine row seated v,1.0,guard flagged 'adds equipment ['machine']'; judged the same exercise
vid_cable_triceps_pushdown,Cable Triceps Pushdown,proposed,Cable Pushdown,cable pushdown,1.0,Generic name matches the described standard triceps pushdown.
fedb_calf_press,Calf Press,proposed,Calf raise leg press machine,calf leg machine press raise,1.0,guard flagged 'adds equipment ['machine']'; judged the same exercise
calf_press_on_the_leg_press_machine,Calf Press On The Leg Press Machine,proposed,Calf raise leg press machine,calf leg machine press raise,1.0,guard flagged 'adds movement ['raise']'; judged the same exercise
fedb_calf_raises_-_with_bands,Calf Raises - With Bands,proposed,standing calf raise resistance band,band calf raise resistance standing,1.0,guard flagged 'adds equipment ['resistance']'; judged the same exercise
vid_close_feet_leg_press,Close-Feet Leg Press,proposed,leg press machine close stance,close leg machine press stance,1.0,guard flagged 'adds equipment ['machine']'; judged the same exercise
vid_close_grip_chin_up,Close-Grip Chin-Up,proposed,Close-reverse Grip Chin-Up,chin close grip reverse,1.0,guard flagged 'adds variant ['reverse']'; judged the same exercise
close_grip_front_lat_pulldown,Close-Grip Front Lat Pulldown,proposed,lat pull down close grip,close down grip lat pull,1.0,"Direct match of movement, equipment, and grip."
fedb_close-grip_push-up_off_of_a_dumbbell,Close-Grip Push-Up off of a Dumbbell,proposed,Close Grip Push up,close grip push,0.9,Dumbbell is a prop for hand placement; core movement is identical.
fedb_decline_smith_press,Decline Smith Press,proposed,smith machine press decline,decline machine press smith,1.0,guard flagged 'adds equipment ['machine']'; judged the same exercise
