finding_id,severity,domain,title,root_cause,gate,tier,blocked_by,status,notes
F023,HIGH,INJURY SAFETY,AI-generated exercises excluded only for injuries never for movement restrictions,RC1,G-B (B6),4,none,FIXED_BY_REMEDIATION,"New cannotScreenGeneratedFor(profile) = injuries OR flags.restrictions replaces hasInjuries at both generated-content guards. exerciseResolutionProvider is the only live path (lists drop clipless AI rows via withDemonstration). Mutation-checked; a vacuous companion test of mine was caught by that mutation run and removed - see DECISION_LOG 2026-08-17."
F001,HIGH (restored per E05),EXERCISE CATALOG,Difficulty gradation does not exist as usable data,RC7,none - content + copy work,6,content work,OPEN_REPRODUCED,Severity restored to HIGH this session (independently re-verified: fitnessProfileProvider has zero watch/read call sites); the review's own MEDIUM downgrade was its own methodology error (E05)
F002,HIGH,ML INFERENCE,Recognition covers 10 of 69 registry machines against a "scan any machine" claim,RC7,G-A/A6 (copy only),1,D3 (RESOLVED - see below),FIXED_BY_REMEDIATION,"Fixed commit cb55cd7 per D3: core/business/PITCH_2026.md:15 corrected to state the true 10-of-69 shipped scope; does not reference the unshipped v2 model. ML label-set expansion remains explicitly out of scope."
N01,HIGH,WORKOUT PLAYER,A safety refusal is rendered to the user as a network error with a Retry button,RC3,G-A (A1),1,none,FIXED_BY_REMEDIATION,"Fixed commit 7c19a97: ProgrammeNotViable/blockedBySafety now shows EligibilityNotice instead of the generic error SnackBar with Retry. Sharpest single miss of the whole audit. Mutation-tested; re-verified live in the G-A regression pass (2026-08-17)."
N02,HIGH,WORKOUT PLAYER,In-workout exercise picker is unscreened and the tap is terminal,RC1,G-B (B2),4,none,FIXED_BY_REMEDIATION,"Picker reads eligibleExercises(catalog safety) instead of safeCatalogProvider (safeFor = injuries only). Whole-person gate deliberately not added here: exerciseResolutionProvider already withholds the entry exercise upstream so a refused user never reaches the button. Mutation-checked."
F003,MEDIUM,ONBOARDING,At least 14 of roughly 37 questionnaire fields reach no engine,RC5,none - consume or delete,6,D4 (RESOLVED - see below),REPRODUCED_VERIFIED,Numerator of 14 confirmed; denominator "of 37" is a hand-built list known to omit at least one real consumer, so state as "at least 14"
F004,MEDIUM,RECOVERY,Recovery feature ignores the sleep and stress it collects,RC5,none - consume or delete,6,D4 (RESOLVED - see below),REPRODUCED_VERIFIED,"Re-verified this session: grep for sleepHoursPerNight/stressLevel across mobile/lib returns zero hits under features/recovery/ (deload_detector.dart, recovery_providers.dart, deload_banner.dart) - confirmed absent, not merely uncited"
F005,MEDIUM,FIRESTORE,Client can reset its own abuse-guard usage quota,RC6,G-D,2,none,FIXED_BY_REMEDIATION,"users/{uid}/usage/* excluded from the wildcard's read AND write, plus its own allow read,write: if false block. Verified against the real Firestore emulator (functions/src/__rules__/firestore_rules.test.ts); mutation-tested."
F006,MEDIUM,FIRESTORE,Client can forge or delete its own generated receipts,RC6,G-D,2,none,FIXED_BY_REMEDIATION,"Same fix pattern as F005, users/{uid}/receipts/*. Verified against the real Firestore emulator; mutation-tested."
N03,MEDIUM,FIRESTORE,Device-local health-data split is enforced only by client code,RC6,G-D,2,none,FIXED_BY_REMEDIATION,"users/{uid}/profile/* now has a dedicated rule requiring the health block match the exact stripped shape DeviceHealthProfileRepository.stripSensitive() produces, and lifestyle.smoking/alcohol null, whenever a write includes either field. Verified against the real Firestore emulator with three adversarial payloads (real condition, real injury, smoking/alcohol answers); mutation-tested."
N04,MEDIUM,AI COACH,Coach entry is gated on one screen and ungated on two machine surfaces,RC1,G-B (B4),4,none,FIXED_BY_REMEDIATION,"equipment_detail_page.dart and scanner_page.dart now hide the AiCoachSheet entry on SafetyContext.blockedByAStatedAnswer. NOT allowsAnyTraining - screen() is fail-closed so that would hide the coach from every un-onboarded user; see DECISION_LOG 2026-08-17. EquipmentDetailPage had no test file at all; one was created. Mutation-checked on both surfaces."
F007,MEDIUM,CI,flutter analyze cannot fail CI,none,none (Tier 6 - independent),6,none,NOT_REVIEWED (16-item tail),
F008,MEDIUM,CI,Working branch gets no push-triggered CI,none,none (Tier 6 - independent),6,none,NOT_REVIEWED (16-item tail),
F024,MEDIUM,RECOMMENDATION ENGINE,sortByTierFit has no tie-break and the sort is unstable,none,none (Tier 6 - independent),6,none,NOT_REVIEWED (16-item tail),
F025,MEDIUM,PROGRAMME GENERATION,All nine celebrity-plan exercise ids are dangling,none,none (Tier 6 - independent),6,none,NOT_REVIEWED (16-item tail),Dormant - only matters if a screen ever reads dailyWorkouts
F026,MEDIUM,AI COACH,No SafetySetting is configured on any Gemini call,none,none (Tier 6 - independent),6,none,NOT_REVIEWED (16-item tail),
F027,MEDIUM,LOCALIZATION,Seven hardcoded English safety strings bypass l10n,none,none (Tier 6 - independent),6,none,NOT_REVIEWED (16-item tail),
F009,LOW,ANALYTICS,uid written to debug console on a corrupt-key path,none,G-F/F1 (auxiliary orphan),6,none,REPRODUCED_VERIFIED,"Traced this session: photo_key_store.dart:184 interpolates $name into debugPrint; _name getter (line 120) is secureKeyFor(uid) - confirmed the uid reaches the string, not just a generic label"
N08,LOW,SAFETY,Two complete screening providers are dead code,none,none (Tier 6 - independent),6,none,OPEN_REPRODUCED,Independently re-verified this session by direct grep: declarations plus doc-comment mentions only, zero ref.watch/ref.read call sites
F010,INFO,DEAD CODE,Moments feature and both Wear OS providers are unreferenced,none,none (Tier 6 - independent),6,none,NOT_REVIEWED (16-item tail),Do not delete during an audit - decide per feature: wire up or delete
F011,INFO,PRIVACY,Roughly one-hour authorisation window survives account deletion,none,PARTIAL REMEDIATE - checkRevoked on payment callables,0 (RESOLVED - see below),none,DECISION_RESOLVED,"Verified functions/src/index.ts:1618-1765 (deleteAccount) and enumerated all 10 onCall callables. Decision: RISK_ACCEPTED for read-mostly/low-blast-radius callables (optInDonorWall, optOutDonorWall, reportEquipment, bookCoachSession, startCoachOnboarding, createPortalSession, generateAnnualReceipt) since deletion removes the Firestore data they read; REMEDIATE for startFreeTrial and createCheckoutSession specifically, because a stale token could replay trial/checkout eligibility checks against now-absent Firestore records within the ~1h window - implementation queued in Tier 6"
F012,INFO,DOCUMENTATION,Scope document contradicted by the shipped TFLite model,none,none (Tier 6 - independent),6,none,NOT_REVIEWED (16-item tail),Simple doc correction
N05,INFO,ARCHITECTURE,Firebase Storage holds no user content (methodology correction),none,none - closed,-,none,FIXED_PREEXISTING,No product defect; original absence claim was false evidence, the conclusion survives
N06,INFO,INJURY SAFETY,kSafetyTagsClinicallyReviewed = false is recorded in code,none,feeds D1 framing only,0,none,VERIFIED,No independent remediation task; directly informs how D1 should be adjudicated
N07,INFO,ROUTING,/team/:teamId is declared but has no navigation call site,none,none (Tier 6 - independent),6,none,OPEN_REPRODUCED,Either add an entry point or remove the route and TeamFeedPage
