item_id,population,current_tags,title,summary,steps,equipment_id,current_app_behaviour,disposition,tags,rationale
ea_45_degree_bicycle_twisting_crunch,TAGGED,lower_back neck,45 Degree Bicycle Twisting Crunch,Align yourself to 45 degrees to the floor by fixing your left foot into the footrest and supporting your thigh against the padded platform,"Align yourself to 45 degrees to the floor by fixing your left foot into the footrest and supporting your thigh against the padded platform Place your left hand behind your head and your right hand on your waist Straighten your upper leg wide and bend your knee while twisting your torso and bringing the opposite elbow towards it Return to the initial position, and repeat",back_extension,Removed from the library of a user whose declared injury region intersects these tags.,,,
ea_45_degree_hyperextension_arms_in_front_of_chest,TAGGED,lower_back,45 Degree Hyperextension (arms in Front of Chest),Fix your feet to the footrests and press your thighs against the padded platform,"Fix your feet to the footrests and press your thighs against the padded platform Place your arms across your chest and lean forward Raise yourself by leaning backward and forming an upright position Hold for a second, return to the initial position, and repeat",back_extension,Removed from the library of a user whose declared injury region intersects these tags.,,,
ea_45_degree_hyperextension_arms_to_chest,TAGGED,lower_back,45 Degree Hyperextension Arms to Chest,Fix your feet to the footrests and press your thighs against the padded platform,"Fix your feet to the footrests and press your thighs against the padded platform Place your arms across your chest and lean forward Raise yourself by leaning backward and forming an upright position Hold for a second, return to the initial position, and repeat",back_extension,Removed from the library of a user whose declared injury region intersects these tags.,,,
ea_45_degree_side_bend,UNTAGGED,,45 Degree Side Bend,Place your feet one after the other onto the footrests and support your thigh against the platform,Place your feet one after the other onto the footrests and support your thigh against the platform Place your hands behind your head and assume an upright position with a neutral spine Crunch your torso toward the platform and then to the other side Repeat while keeping yourself stable,back_extension,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_45_degree_twisting_hyperextension,TAGGED,lower_back,45 Degree Twisting Hyperextension,Fix your feet to the footrests and press your thighs against the padded platform,"Fix your feet to the footrests and press your thighs against the padded platform Place your hands behind your head and lean forward Raise yourself by leaning backward and twisting your torso to a side Hold for a second, return to the initial position, and repeat",back_extension,Removed from the library of a user whose declared injury region intersects these tags.,,,
ea_45_degrees_step_out,TAGGED,knee,45 Degrees Step Out,Stand with your feet shoulder-width apart keeping them bent to a half squat position,"Stand with your feet shoulder-width apart keeping them bent to a half squat position Step your right foot out at a 45-degree angle to the side until your leg is completely straight Bring your right foot back to the starting position Repeat the movement with your left foot, continuing to alternate sides",,Removed from the library of a user whose declared injury region intersects these tags.,,,
ea_5_sec_fist_against_chin,UNTAGGED,,5 Sec Fist Against Chin,"Sit or stand upright with your feet shoulder-width apart, maintaining good posture. Make a fist with both hands and place them under your chin","Sit or stand upright with your feet shoulder-width apart, maintaining good posture. Make a fist with both hands and place them under your chin Apply gentle upward pressure with your fist against your chin, resisting with your neck muscles. Hold this position for 5 seconds Keep your neck and head steady, avoiding any movement while maintaining the pressure Release the pressure after 5 seconds and relax. Repeat the exercise for the desired number of repetitions",,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_90_degree_heel_touch,UNTAGGED,,90 Degree Heel Touch,Lie down on your back with your hips and knees bent to 90 degrees and your arms extended overhead,"Lie down on your back with your hips and knees bent to 90 degrees and your arms extended overhead Raise your upper back and bring your arms forward to touch your heels Hold for a second, return to the initial position, and repeat",,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_90_degree_heels_touch,UNTAGGED,,90 Degree Heels Touch,Lie down on your back with your hips and knees bent to 90 degrees and your arms extended overhead,"Lie down on your back with your hips and knees bent to 90 degrees and your arms extended overhead Raise your upper back and bring your arms forward to touch your heels Hold for a second, return to the initial position, and repeat",,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_90_to_90_stretch,UNTAGGED,,90 to 90 Stretch,"Sit on the floor with both legs bent at 90 degrees. Position one leg in front of your body with your thigh and shin at a 90-degree angle, and the other leg to the side with your thigh and shin at a 90-degree angle with foot extending backwards","Sit on the floor with both legs bent at 90 degrees. Position one leg in front of your body with your thigh and shin at a 90-degree angle, and the other leg to the side with your thigh and shin at a 90-degree angle with foot extending backwards Lean lightly forward keeping your arms on the floor and holding the stretch for a few seconds Switch the position of your legs to perform the stretch on the opposite side",,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_ab_mat_sit_up,TAGGED,lower_back neck,Ab Mat Sit-up,"Sit on the floor with a yoga mat placed under your lower back, knees bent facing outwards, and feet  on the floor touching together. Hands behind your head","Sit on the floor with a yoga mat placed under your lower back, knees bent facing outwards, and feet  on the floor touching together. Hands behind your head Lean back to lie down, keeping your arms behind your head Use your core muscles to sit your torso up, return to the starting position and repeat",ab_mat,Removed from the library of a user whose declared injury region intersects these tags.,,,
ea_ab_tuck,UNTAGGED,,Ab Tuck,"Start by hanging on a dip station, holding the parallel bars with your arms extended and your body straight","Start by hanging on a dip station, holding the parallel bars with your arms extended and your body straight Lift your knees towards your chest while lightly extending your hips backward, engaging your core muscles Extend your legs back downwards to starting position Repeat the movement",dip_station,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_ab_wheel_all_the_way_out,UNTAGGED,,AB Wheel All the Way Out,"Start by kneeling on a mat with the ab wheel placed on the floor in front of you, holding it with both hands. Ensure your arms are extended and your back is straight","Start by kneeling on a mat with the ab wheel placed on the floor in front of you, holding it with both hands. Ensure your arms are extended and your back is straight Roll the ab wheel forward, extending your body into a straight line while keeping your core engaged and your hips slightly extended backward Roll the ab wheel back to the starting position, using your core muscles to control the movement and maintain stability Repeat the movement, extending fully and returning to the starting position each time",ab_wheel,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_ab_wheel_halfway_out,UNTAGGED,,AB Wheel Halfway Out,"Start by kneeling on a mat with the ab wheel placed on the floor in front of you, holding it with both hands. Ensure your arms are extended and your back is straight","Start by kneeling on a mat with the ab wheel placed on the floor in front of you, holding it with both hands. Ensure your arms are extended and your back is straight Roll the ab wheel forward, extending your body halfway while keeping your core engaged and your hips slightly extended backward Roll the ab wheel back to the starting position, using your core muscles to control the movement and maintain stability Repeat the movement, extending halfway and returning to the starting position each time",ab_wheel,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_ab_wheel_left_out,UNTAGGED,,AB Wheel Left Out,"Start by kneeling on a mat with the ab wheel placed on the floor in front of you, holding it with both hands. Ensure your arms are extended and your back is straight","Start by kneeling on a mat with the ab wheel placed on the floor in front of you, holding it with both hands. Ensure your arms are extended and your back is straight Roll the ab wheel forward and to the left, extending your body into a partial straight line while keeping your core engaged and your hips slightly extended backward Roll the ab wheel back to the starting position, using your core muscles to control the movement and maintain stability Repeat the movement, rolling out to the left and returning to the starting position each time",ab_wheel,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_ab_wheel_plank,TAGGED,elbow wrist,Ab Wheel Plank,"Start by kneeling on a mat with the ab wheel placed on the floor in front of you, holding it with both hands. Ensure your arms are extended and your back is straight","Start by kneeling on a mat with the ab wheel placed on the floor in front of you, holding it with both hands. Ensure your arms are extended and your back is straight Roll the ab wheel forward until your body is in a plank position, with your arms extended and your body forming a straight line from head to knees Hold the plank position, keeping your core engaged and your body stable, as long as required Roll the ab wheel back to the starting position",ab_wheel,Removed from the library of a user whose declared injury region intersects these tags.,,,
ea_ab_wheel_pulses,UNTAGGED,,AB Wheel Pulses,"Start by lying on the floor with your arms extended overhead, holding the ab wheel with both hands","Start by lying on the floor with your arms extended overhead, holding the ab wheel with both hands Engage your core by lifting your upper body off the floor slightly, performing a small crunch while keeping your arms extended and the ab wheel overhead Perform small pulsing crunches, lifting and lowering your upper body slightly while maintaining tension in your core Continue the pulsing movement for the desired number of repetitions, keeping your arms extended and the ab wheel steady",ab_wheel,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_ab_wheel_right_out,UNTAGGED,,AB Wheel Right Out,"Start by kneeling on a mat with the ab wheel placed on the floor in front of you, holding it with both hands. Ensure your arms are extended and your back is straight","Start by kneeling on a mat with the ab wheel placed on the floor in front of you, holding it with both hands. Ensure your arms are extended and your back is straight Roll the ab wheel forward and to the right, extending your body into a partial straight line while keeping your core engaged and your hips slightly extended backward Roll the ab wheel back to the starting position, using your core muscles to control the movement and maintain stability Repeat the movement, rolling out to the right and returning to the starting position each time",ab_wheel,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_ab_wheel_take_it_or_leave_it,UNTAGGED,,AB Wheel Take It or Leave It,"Lie on your back with your legs bent at 90 degrees and your feet off the floor, forming a tabletop position. Hold the AB wheel overhead with both hands, keeping your arms straight","Lie on your back with your legs bent at 90 degrees and your feet off the floor, forming a tabletop position. Hold the AB wheel overhead with both hands, keeping your arms straight Engage your core and lift your chest towards your knees to perform a crunch, bringing the AB wheel towards your shins Place the AB wheel gently on your shins and lower your upper body back to the floor, keeping your legs in the tabletop position Perform another crunch, reaching up to grab the AB wheel from your shins, and then lower your upper body back to the floor. Repeat for the desired number of repetitions",ab_wheel,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_abdominal_crunches,TAGGED,lower_back neck,Abdominal Crunches,"Lie on your back with knees slightly bent, feet placed on the floor and arms raised to the shoulder height","Lie on your back with knees slightly bent, feet placed on the floor and arms raised to the shoulder height Squeeze your abdominals and lift your upper back off the floor, reaching forward with your arms Hold for a second and slowly return to the starting position",,Removed from the library of a user whose declared injury region intersects these tags.,,,
ea_abdominal_crunches_machine,TAGGED,lower_back neck,Abdominal Crunches Machine,Adjust the seat and resistance to your desired settings on the abdominal crunch machine. Sit on the seat and position your feet securely on the footrests,"Adjust the seat and resistance to your desired settings on the abdominal crunch machine. Sit on the seat and position your feet securely on the footrests Grab the handles, ensuring your elbows are pointed forward Engage your core muscles and crunch your abdominals by pulling your upper body forward and curling your chest towards your knees Hold the crunch for a second, then slowly return to the starting position with control. Repeat for the desired number of repetitions",ab_crunch_machine,Removed from the library of a user whose declared injury region intersects these tags.,,,
ea_abdominal_crunches_with_hold,TAGGED,lower_back neck,Abdominal Crunches with Hold,Lie on your back with knees slightly bent and feet placed on the floor,Lie on your back with knees slightly bent and feet placed on the floor Inhale and try reaching forward with straight arms while lifting your upper back off the floor Hold the end position for a second and slowly return to the starting position,,Removed from the library of a user whose declared injury region intersects these tags.,,,
ea_abdominal_stretch,UNTAGGED,,Abdominal Stretch,Sit on the floor with your knees bent and drawn towards your chest,"Sit on the floor with your knees bent and drawn towards your chest Wrap your arms around your knees, hugging them tightly Hold the stretch in this position, allowing your back to round slightly and your head to relax forward After holding the stretch for the desired amount of time, release your arms and return to a neutral sitting position",,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_abdominal_stretch_version2,UNTAGGED,,Abdominal Stretch ( Version2 ),Sit on the floor with your knees bent and drawn towards your chest,"Sit on the floor with your knees bent and drawn towards your chest Place your hands on your knees keeping them set and lean your chest to your knees to stretch Hold the stretch in this position, allowing your back to round slightly and your head to relax forward After holding the stretch for the desired amount of time, release your arms and return to a neutral sitting position",,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_above_head_chest_stretch,UNTAGGED,,Above Head Chest Stretch,Stand with your feet shoulder-width apart and your spine neutral. Raise your arms overhead and clasp your hands together with elbows bent,"Stand with your feet shoulder-width apart and your spine neutral. Raise your arms overhead and clasp your hands together with elbows bent Keeping your hands clasped, bring your elbows backward to stretch Hold the stretch in this position, keeping your spine neutral and core engaged After holding the stretch for the desired amount of time, return to the starting position",,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_abs_snails,UNTAGGED,,Abs Snails,"Lie on your back with your arms flat on the floor beside you, palms down","Lie on your back with your arms flat on the floor beside you, palms down Lift your legs until your feet point at the ceiling Press your lower back into the floor and squeeze your stomach Curl your hips off the floor and roll your legs back over your chest Lower slowly, one part of the spine at a time, until your hips touch down again",,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_across_chest_shoulder_stretch,UNTAGGED,,Across Chest Shoulder Stretch,Stand with your feet shoulder-width apart and your spine neutral. Raise one arm to shoulder height and bring it across your chest,"Stand with your feet shoulder-width apart and your spine neutral. Raise one arm to shoulder height and bring it across your chest Use your opposite hand to grasp your upper arm and gently pull it towards your chest, stretching your shoulder Hold the stretch in this position Release your arm and repeat the movement on the other side",,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_adductor_dynamic_stretch,UNTAGGED,,Adductor Dynamic Stretch,Lie on your back on a mat with both legs extended upwards,"Lie on your back on a mat with both legs extended upwards Open your legs wide apart, stretching your inner thighs Bring your legs back together to the starting position Continue the movement in a dynamic manner, opening and closing your legs",,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_adductor_stretch,UNTAGGED,,Adductor Stretch,Lie on your back on a mat with both legs extended upwards,"Lie on your back on a mat with both legs extended upwards Open your legs wide apart, stretching your inner thighs Hold the stretch for 20-30 seconds, or as needed",,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_adductor_stretch_side_standing,UNTAGGED,,Adductor Stretch Side Standing,Stand tall with your spine neutral and feet shoulder-width apart while keeping your hands together in front of your chest,"Stand tall with your spine neutral and feet shoulder-width apart while keeping your hands together in front of your chest Take a step to the left while keeping your right foot in place Bend the left knee unless your right thigh becomes parallel to the floor Hold for a few seconds, return to the initial position, and repeat",,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_agility_ladder_advanced_hop_position,TAGGED,ankle knee,Agility Ladder Advanced Hop Position,Stand at one end of the ladder with your feet together and knees soft,"Stand at one end of the ladder with your feet together and knees soft Hop with both feet into the first square, landing on the balls of the feet Immediately hop forward into the next square without pausing Keep your chest up and use your arms to help the rhythm Work the length of the ladder, then walk back and repeat",agility_ladder,Removed from the library of a user whose declared injury region intersects these tags.,,,
ea_agility_ladder_advanced_single_leg,UNTAGGED,,Agility Ladder Advanced Single-leg,Stand on one leg at the end of the ladder with the knee slightly bent,"Stand on one leg at the end of the ladder with the knee slightly bent Hop forward into the first square, landing on the ball of that foot Absorb the landing through the ankle and knee before the next hop Continue down the ladder without putting the other foot down Walk back and repeat on the other leg",agility_ladder,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_agility_ladder_advancing_laterally_switching_base,UNTAGGED,,Agility Ladder Advancing Laterally Switching Base,Stand side-on at one end of the ladder with your knees bent,"Stand side-on at one end of the ladder with your knees bent Step the lead foot into the first square, then follow with the other Step the lead foot out the far side, then bring the other out too Switch which foot leads and continue moving sideways down the ladder Work back the other way so both directions get equal time",agility_ladder,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_agility_ladder_in_in_out_out,UNTAGGED,,Agility Ladder in in Out Out,Stand at the end of the ladder facing down its length,"Stand at the end of the ladder facing down its length Step the left foot into the first square, then the right Step the left foot out to the left of the next square, then the right out to the right Keep the rhythm even: in, in, out, out Move down the whole ladder, then walk back and repeat",agility_ladder,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_agility_ladder_in_in_out_out_moving_laterally,UNTAGGED,,Agility Ladder in in Out Out Moving Laterally,Stand side-on at the end of the ladder with your knees bent and chest up,"Stand side-on at the end of the ladder with your knees bent and chest up Step the near foot into the square, then the far foot in beside it Step the near foot out the other side, then the far foot out Keep travelling sideways with the same four-count rhythm Return down the ladder leading with the other side",agility_ladder,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_agility_ladder_in_in_out_out_with_knee_lift,UNTAGGED,,Agility Ladder in in Out Out with Knee Lift,Stand at the end of the ladder with your feet hip width apart,"Stand at the end of the ladder with your feet hip width apart Step both feet into the first square in quick succession As you step out to the sides, drive one knee up toward your chest Land and repeat, alternating which knee lifts each time Work the length of the ladder, then walk back and go again",agility_ladder,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_agility_ladder_lateral_movement_in_in_out,UNTAGGED,,Agility Ladder Lateral Movement in in Out,Stand side-on at the end of the ladder with your weight on the balls of your feet,"Stand side-on at the end of the ladder with your weight on the balls of your feet Step the lead foot in, then the trail foot in Step the lead foot out the far side while the trail foot stays Continue this three-count rhythm while travelling sideways Repeat facing the other way so both sides lead",agility_ladder,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_agility_ladder_lateral_movement_with_double_hop,TAGGED,ankle knee,Agility Ladder Lateral Movement with Double Hop,Stand side-on at the end of the ladder with the feet together,"Stand side-on at the end of the ladder with the feet together Hop sideways into the first square with both feet at once Hop again immediately into the next square without a pause Land on the balls of the feet and keep the knees soft throughout Travel the whole ladder, then work back leading with the other side",agility_ladder,Removed from the library of a user whose declared injury region intersects these tags.,,,
ea_agility_ladder_skipping_1_touch,UNTAGGED,,Agility Ladder Skipping 1 Touch,Stand at the end of the ladder on the balls of your feet,"Stand at the end of the ladder on the balls of your feet Run forward placing one foot in each square, one touch per square Keep your steps short, quick and light Pump your arms in time with your feet Sprint the length of the ladder, walk back, and repeat",agility_ladder,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_agility_ladder_skipping_2_touches,UNTAGGED,,Agility Ladder Skipping 2 Touches,Stand at the end of the ladder with your knees soft,"Stand at the end of the ladder with your knees soft Run forward placing both feet inside each square before moving on Keep the contacts light and the rhythm even Stay tall with your chest up and your arms driving Work the full length, then walk back and go again",agility_ladder,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_air_bike,UNTAGGED,,Air Bike,Lie on your back with your hands behind your head and your knees bent at a 90-degree angle,"Lie on your back with your hands behind your head and your knees bent at a 90-degree angle Lift your back off the floor, engaging your core Bring your right elbow towards your left knee while extending your right leg slightly Lower your back to the floor and repeat, bringing your left elbow towards your right knee while extending your left leg lightly",,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_air_bike_version_2,UNTAGGED,,Air Bike (version 2),Lie on your back with your hands behind your head and your knees bent at a 90-degree angle,"Lie on your back with your hands behind your head and your knees bent at a 90-degree angle Lift your shoulders off the floor, engaging your core Bring your right elbow towards your left knee while extending your right leg straight Switch sides, bringing your left elbow towards your right knee while extending your left leg straight. Continue alternating sides in a pedaling motion",,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_air_bike_crunch,TAGGED,lower_back neck,Air Bike Crunch,Lie on your back with your hands behind your head and your knees bent at a 90-degree angle,"Lie on your back with your hands behind your head and your knees bent at a 90-degree angle Lift your shoulders off the floor, engaging your core Bring your right elbow towards your left knee while extending your right leg lightly Switch sides, bringing your left elbow towards your right knee while extending your left leg lightly. Continue alternating sides in a pedaling motion",,Removed from the library of a user whose declared injury region intersects these tags.,,,
ea_air_punches_march,TAGGED,lower_back,Air Punches March,Stand tall with your spine neutral and feet shoulder-width apart,"Stand tall with your spine neutral and feet shoulder-width apart Make fists of your hands, fold one arm at your side and extend the other arm overhead Raise one of your thighs while bending your knee, and lower your arm while extending the other arm overhead Return to the initial position and repeat by raising your other thigh",,Removed from the library of a user whose declared injury region intersects these tags.,,,
ea_air_swing_running,TAGGED,ankle hip knee lower_back,Air Swing Running,Grip the dip bars and press up until your arms are straight,"Grip the dip bars and press up until your arms are straight Push your shoulders down away from your ears and brace your stomach Keeping the arms locked, drive one knee up toward your chest Switch legs in a running rhythm without letting your body swing Continue for the set time, then lower down under control",outdoor_air_walker,Removed from the library of a user whose declared injury region intersects these tags.,,,
