finding_id,severity,domain,feature,title,status,evidence_class,affected_files,exact_lines,documented_claim,actual_behavior,user_impact,health_safety_impact,privacy_impact,financial_impact,confidence,minimal_fix,minimal_test,reviewer,second_reviewer
F023,HIGH,INJURY SAFETY,AI rows and restrictions,"AI-generated exercises are excluded only for users with a logged injury, never for a movement restriction",VERIFIED,CODE,mobile/lib/features/equipment/state/equipment_providers.dart,equipment_providers.dart:481-482; exercise_filter.dart:38,Generated rows are withheld from users who need screening,"hasInjuries reads profile.health.injuries only. ai:: rows carry no contraindications, so a restriction-only profile passes and can resolve them",A user who reported that overhead movement is limited can be taken into the player on an untaggable AI-authored exercise,Direct,none,none,high,Widen the predicate to injuries.isNotEmpty || flags.restrictions.isNotEmpty,Resolve a cached ai:: id for a restrictions-only profile; assert notFound,clinical-safety-gate + recommendation-adversary,orchestrator
F024,MEDIUM,RECOMMENDATION ENGINE,Ranking determinism,sortByTierFit has no index tie-break and Dart List.sort is not stable,VERIFIED,CODE,mobile/lib/features/equipment/data/exercise_filter.dart,"exercise_filter.dart:188-210,195",for_you_ranker.dart:41-44 adds a tie-break for exactly this reason,"With 1,877 of 1,887 rows beginner, every row ties at distance 0 and the comparator returns 0. The surviving order is unstable",The For-you list reshuffles between runs and cannot be reproduced from a bug report,none,none,none,high,Add the same index tie-break one function upstream,Sort a 100-row all-beginner list twice; assert identical output,recommendation-adversary,orchestrator
F025,MEDIUM,PROGRAMME GENERATION,Celebrity plans,All nine exercise ids in the shipped celebrity plans are absent from the catalogue,VERIFIED,DATA,mobile/lib/features/celebrity_plans/data/celebrity_plan_repository.dart,celebrity_plan_repository.dart:26-43,Sample programmes reference real exercises,Checked all nine against exercises_vendor.json: 0 of 9 exist. Every real id is ea_ prefixed. Currently unreachable - no widget reads dailyWorkouts,"Dormant. The moment a screen renders these, every row is a dangling id - and one plan is titled Low-Back-Friendly, a safety claim over exercises that do not exist",Latent,none,none,high,"Delete dailyWorkouts from the seed, or repair the ids",Assert every dailyWorkouts id resolves in the vendor asset,recommendation-adversary,orchestrator (confirmed against data)
F026,MEDIUM,AI COACH,Model safety settings,No SafetySetting is configured on any Gemini call,VERIFIED,CODE,mobile/lib/features/ai_coach/ai_coach_service.dart; ai_exercise_generator.dart; visual_equipment/data/machine_describer.dart,ai_coach_service.dart:27; ai_exercise_generator.dart:33-40; machine_describer.dart:63,AI guidance is safety-first,"grep for SafetySetting, HarmCategory and HarmBlockThreshold over mobile/lib returns zero hits. All three call sites run on provider defaults. The coach prompt contains no medical-advice constraint and the coach call has no timeout","Bounded today only by the absence of a free-text input, not by a control",Latent and structural,none,none,high,Set explicit SafetySettings on all three models; record that the coach sheet must not gain free-text input without an input classifier,Assert generativeModel is constructed with a non-empty safetySettings list,recommendation-adversary + medical-boundary sweep,orchestrator
F027,MEDIUM,LOCALIZATION,Hardcoded safety strings,Seven user-visible safety strings are hardcoded English and bypass l10n,VERIFIED,CODE,mobile/lib/features/ai_planner/data/plan_builder.dart; equipment_detail_page.dart; cycle_phase.dart; deload_detector.dart,"plan_builder.dart:141-144,162-164,175-177; equipment_detail_page.dart:500-502; cycle_phase.dart:182-208; deload_detector.dart:95",RU is complete for every safety key in the .arb files,These strings are rendered as plain Text and exist in no .arb. A Russian user reads a clearance-and-referral message in English. One interpolates a raw enum name into user-facing text,The referral a restricted user most needs is untranslated,Direct for RU users,none,none,high,Move all seven into the .arb files,"Assert no Text widget in these files receives a string literal containing doctor, cleared or filtered",medical-boundary sweep,orchestrator
F001,HIGH,EXERCISE CATALOG,Difficulty gradation,"The difficulty field does not exist as data, so any level constraint is inert",VERIFIED,DATA,mobile/assets/data/exercises_vendor.json,1887 rows,Level/tier is a personalisation input collected in onboarding,"1,877 of 1,887 rows are ""beginner"", 8 ""advanced"", 2 ""intermediate""",A user who declares themselves advanced is served the same catalogue as a beginner,An advanced-only filter would empty the catalogue; a beginner filter excludes nothing,none,none,high,Either populate difficulty or stop presenting level as a personalisation axis,Assert the distribution is not degenerate before any level filter is trusted,orchestrator,
F002,HIGH,ML INFERENCE,Equipment recognition coverage,The recognition model covers 10 of 69 registry machines,VERIFIED,MODEL ARTIFACT + DATA,mobile/assets/models/README.md; mobile/assets/data/equipment.json,label set of 10; registry of 69,Scan any gym machine (PITCH_2026.md:15),14.5% of the registry is recognisable; the other 59 machines can only be chosen manually,Scanning an unlisted machine cannot succeed,none,none,none,high,"State the supported set in the Scan UI, or expand the label set",Assert every scanner label maps to a registry id and report the uncovered count,orchestrator,
F003,MEDIUM,ONBOARDING,Collected-not-used questionnaire fields,14 of 37 questionnaire fields reach no engine,VERIFIED,CODE,mobile/lib/features/onboarding/steps/*; mobile/lib/features/profile/data/profile_models.dart,see 14_PERSONALIZATION_INPUT_MATRIX.csv,Onboarding presents these as inputs that shape the plan,"birthYear, weightTargetKg, activityLevel, specificSport, frequencyPerWeek, currentExercises, basics, diet, sleepHoursPerNight, stressLevel, occupation, homeEquipment, motivation, environments are stored and never read by any recommendation, programme, workout, safety or AI path",Time spent answering questions that change nothing,none,Data minimisation: lifestyle answers are retained without a purpose,none,high,Either consume them or stop collecting them,A test asserting each collected field has at least one engine consumer,orchestrator,
F004,MEDIUM,RECOVERY,Recovery ignores the sleep and stress it asks for,sleepHoursPerNight and stressLevel are collected but the recovery feature does not read them,VERIFIED,CODE,mobile/lib/features/recovery/; step_lifestyle.dart,-,Recovery/readiness is a product surface,Neither field appears in any recovery path,Readiness cannot reflect the two inputs a user would most expect it to,none,sleep and stress are health-adjacent data held without use,none,high,"Consume them, or remove the questions",Recovery test asserting sleep changes the output,orchestrator,
F005,MEDIUM,FIRESTORE,Client can reset its own abuse-guard quota,users/{uid}/usage/{day} is client-writable through the subcollection wildcard,VERIFIED,CODE,firestore.rules:12-17; functions/src/abuse_guard.ts:82,-,clipUrl/clipUrls are rate limited per uid per day,"The wildcard write rule excludes only `subscription`, so a client can zero its own counter",none directly,none,none,Defeats the metering that exists to stop bulk minting of signed video URLs,high,Exclude `usage` in firestore.rules the way `subscription` is excluded,Rules-emulator test asserting a client write to users/{uid}/usage/{day} is denied,security-reviewer,
F006,MEDIUM,FIRESTORE,Client can forge or delete its own generated receipts,users/{uid}/receipts/{year} is client-writable through the same wildcard,VERIFIED,CODE,firestore.rules:12-17; functions/src/index.ts:1074-1076,-,generateAnnualReceipt produces a server-generated receipt,A client can overwrite or delete the document the function wrote,Breaks the integrity property implied by a server-generated receipt,none,none,Payment-summary record can be altered client-side,high,Add a `receipts` carve-out next to the `subscription` one,Rules-emulator test asserting the write is denied,security-reviewer,
F007,MEDIUM,TESTS,The analyzer cannot fail CI,flutter analyze runs with --no-fatal-warnings --no-fatal-infos,VERIFIED,CODE,.github/workflows/flutter.yml,-,CI gates on analyze + test,Only hard errors gate; 7 issues currently pass unnoticed and the count can grow without limit,none directly,none,none,none,high,"Keep the flag, add a step asserting the issue count has not risen against a baseline",Baseline file plus a comparison step,orchestrator,
F008,MEDIUM,TESTS,The working branch gets no push-triggered CI,flutter.yml and functions.yml trigger pushes only on master/main,VERIFIED,CODE,.github/workflows/*.yml,-,Every job is required to pass,16 commits on formcoach/gates-a-c were covered only if a PR happened to be open,Regressions can accumulate unseen on a long-lived branch,none,none,none,high,"Add the feature branch to the push trigger, or keep a draft PR open per gate",n/a,orchestrator,
F009,LOW,ANALYTICS,uid written to the debug console on a corrupt-key path,debugPrint interpolates a key name containing the uid,VERIFIED,CODE,mobile/lib/features/progress_photos/data/photo_key_store.dart:184,-,n/a,A uid reaches device-local debug output on a rare corruption path,none,none,Identifier in a local log; no key material,none,high,Log the failure without the interpolated name,n/a,security-reviewer,
F010,INFO,DEAD,Two features exist with no reader,The whole moments provider set and both Wear OS providers are unreferenced,VERIFIED,CODE,"mobile/lib/features/moments/state/moment_providers.dart:31-44; mobile/lib/core/wear/state/wear_providers.dart:9,13",-,n/a,7 of 196 providers have no reference anywhere in lib/ or test/,none,none,none,none,high,Decide per feature: wire it up or delete it. Do not delete during an audit.,n/a,orchestrator,
F011,INFO,PRIVACY,A ~1 hour authorisation window survives account deletion,"onCall does not verify token revocation, so a token minted before deletion stays valid",VERIFIED,CODE,functions/src/index.ts:1753-1765,-,Account deletion removes the account,Documented in the code itself; a held token can still call authenticated callables until it expires,A deleted user can still invoke callables briefly,none,Post-deletion access window,none,high,"Pass checkRevoked on the callables that matter, or accept and document the window",n/a,security-reviewer,
F012,INFO,DOCUMENTATION,Scope document contradicted by the artefact it describes,"FINAL_SCOPE P5 says the TFLite model is ""not trained and not bundled""",CONTRADICTED,MODEL ARTIFACT,core/plans/FINAL_SCOPE_2026-08-16.md:190; mobile/assets/models/equipment_v1.tflite,-,equipment_v1.tflite not trained and not bundled - recognition runs cloud-only,"The file exists (4,496,661 bytes), was trained 2026-07-29, is documented with per-class metrics and a caught data leak, and is loaded by MlKitVisualEquipmentService",none,none,none,none,high,Correct the scope row,n/a,orchestrator,
