sequence,timestamp,marker,action,command_or_change,target,result,related_gate,commit,notes
23,2026-08-16T09:32:30+03:00,+ГО,verify,csv parse + sha256 + row widths + documented count cross-check,D:\Downloads SPTR artifacts,"609/519, 224/199, 1887/403 all match docs exactly",G6,,"1887 audit ids match live catalogue in both directions; no secrets, no NUL bytes"
24,2026-08-16T09:32:30+03:00,+ГО,verify,zip content vs loose files,SPTR_FULL_CATALOG_1887_AUDIT_PACKAGE_2026-08-15.zip,"4 entries, all byte-identical to loose copies",G6,,zip skipped as a proven duplicate container
25,2026-08-16T09:32:30+03:00,+ГО,create,shutil.copy2 + sha256 re-verify,core/audit/full_catalog_1887_2026-08-15/,9 files imported byte-for-byte,G6,,ORIGINAL_PRESERVED
26,2026-08-16T09:32:30+03:00,+ГО,create,generate manifest,core/audit/full_catalog_1887_2026-08-15/MANIFEST.csv,"9 rows: sha256, bytes, row_count, state, purpose, provenance",G6,,
27,2026-08-16T09:32:30+03:00,+ГО,create,write validator,tools/evidence/validate_csv_evidence.py,created,G6,,validates the action ledger and every audit MANIFEST
28,2026-08-16T09:32:30+03:00,+ГО,test,python tools/evidence/validate_csv_evidence.py,core/plans + core/audit,PASS,G6,,
29,2026-08-16T09:32:30+03:00,+ГО,test,7 semantic mutations of ledger and evidence,tools/evidence/validate_csv_evidence.py,"7/7 detected, restore green",G6,,"bad SHA, non-ancestor SHA, non-monotonic sequence, illegal marker, missing column, removed gap note, tampered byte, unlisted file"
30,2026-08-16T09:32:30+03:00,+ГО,edit,repoint documentation at repo-local evidence,core/plans/CATALOG_DESCRIPTION_COVERAGE_2026-08-15.md + FINAL_SCOPE_2026-08-16.md,no Downloads references remain in core/plans,G6,,DECISION_LOG history entries deliberately left unedited
31,2026-08-16T09:38:54+03:00,+ГО,verify,measure line endings of imported artifacts,core/audit/full_catalog_1887_2026-08-15/,4 of 9 are LF-only under core.autocrlf=true,G6,,integrity defect found before the commit: a fresh clone would have broken 4 manifest hashes
32,2026-08-16T09:38:54+03:00,+ГО,create,add .gitattributes: core/audit/** -text,.gitattributes,created,G6,,freezes evidence bytes across checkout
33,2026-08-16T09:38:54+03:00,+ГО,test,codex_review.py --uncommitted,D:/Repo/_wt-formcoach,usage_limit_exhausted until 2026-08-20; fail-open receipt written,G6,,external review unavailable; internal reviewers scheduled per mission section 55
34,2026-08-16T09:38:54+03:00,+ГО|КОМИТ,commit,git commit,core/audit + tools/evidence + core/plans + .gitattributes,committed,G6,8e50b9c,"16 files, 30438 insertions"
35,2026-08-16T09:38:54+03:00,+ГО,test,git clone into a temp dir and re-hash against MANIFEST,fresh clone of formcoach/gates-a-c,"9 artifacts, 0 mismatches",G6,,proves the .gitattributes fix rather than asserting it
36,2026-08-16T09:52:34+03:00,+ГО,search,grep R8/R9/R11 across working tree and git history,repository,no artifact file; DECISION_LOG carries labels only,G5,,two numbering schemes collide: R6-R11 are also refactor gate ids from the FIGMA_MAKE plan
37,2026-08-16T09:52:34+03:00,+ГО,search,grep session transcripts under ~/.claude/projects,d--repo transcripts,"found task ae31c31fdb5230dc7, regulatory-compliance sweep",G5,,the agent .output file exists and is 0 bytes; the transcript result field was the only copy
38,2026-08-16T09:52:34+03:00,+ГО,create,extract the result field verbatim,core/audit/gate_j_regulatory_review_2026-08-15/,"21423 bytes, 12 findings R1-R12",G5,,"no rewording, reordering or renumbering"
39,2026-08-16T09:52:34+03:00,+ГО,create,README + MANIFEST,core/audit/gate_j_regulatory_review_2026-08-15/,2 artifacts hashed and manifested,G5,,validator green over both audit directories
40,2026-08-16T09:52:34+03:00,+ГО,verify,measure R8/R9/R11 against the live tree,functions + mobile + core,all three still current,G5,,R11 also had a second stale copy in PLAY_DATA_SAFETY
41,2026-08-16T09:52:34+03:00,+ГО,edit,correct the encryption comments,data_export.dart + PLAY_DATA_SAFETY_2026-08-05.md,R11 fixed,G5,,the replacement reference index.ts:1163 was itself stale and was checked before being written
42,2026-08-16T09:52:34+03:00,+ГО,edit,disclose the retained shared records in both locales,scripts/legal/legal_text.py,R8 fixed; artifacts rebuilt,G5,,build_legal.py rewrote both arb files and privacy.html
43,2026-08-16T09:52:34+03:00,+ГО,create,two-part R8 regression,mobile/test/features/legal/legal_pages_test.dart,rendered-text assertion plus an index.ts scan,G5,,the scan fails if sweepSharedRecords grows a fourth collection
44,2026-08-16T09:52:34+03:00,+ГО,edit,"heading, icon and fund line agree with the body",about_page.dart + both arb files,R9 fixed,G5,,both locales
45,2026-08-16T09:52:34+03:00,+ГО,create,R9 regression with a deletion control,mobile/test/features/about/about_claims_test.dart,4 tests,G5,,control pins the unreviewed-library sentence in place
46,2026-08-16T09:52:34+03:00,+ГО,test,"mutation: 2 for R8, 5 for R9",legal + about suites,"7/7 detected, restore green",G5,,includes RU-only revert and deleting the principle outright
47,2026-08-16T09:52:34+03:00,+ГО,verify,"measure R3, R10, R12 against the live tree",mobile/lib,all three still current; none had ever been recorded,G5,,R3 is a MAJOR that fell out of the deferral list entirely
48,2026-08-16T09:52:34+03:00,+ГО,test,flutter test,mobile/,2602 passed / 0 failed,G5,,2596 before; 6 added
49,2026-08-16T09:52:34+03:00,+ГО,test,flutter analyze lib/ test/,mobile/,"7 issues, all pre-existing",G5,,none in files touched here
50,2026-08-16T09:53:19+03:00,+ГО|КОМИТ,record,git commit,core/ + mobile/ + scripts/ + public/,committed,G5,4f5f596,"15 files, 544 insertions"
51,2026-08-16T10:07:34+03:00,+ГО,verify,flutter --version / java -version / gradle + AGP + Kotlin,mobile/android,"Flutter 3.27.1, Dart 3.6.0, JDK 17.0.18, Gradle 8.10.2, AGP 8.7.0, Kotlin 2.2.20",G2,,
52,2026-08-16T10:07:34+03:00,+ГО,verify,git ls-files + check-ignore on key.properties,mobile/android/key.properties,untracked and ignored,G2,,no signing secret is recorded anywhere
53,2026-08-16T10:07:34+03:00,+ГО,build,flutter build apk --release,mobile/,"ok, 440.4s, 276186855 bytes",G2,,
54,2026-08-16T10:07:34+03:00,+ГО,build,flutter build apk --release --split-per-abi,mobile/,"ok, 3 apks: 96786803 / 112419555 / 113524691",G2,,
55,2026-08-16T10:07:34+03:00,+ГО,build,flutter build appbundle --release,mobile/,"ok, 135033029 bytes",G2,,
56,2026-08-16T10:07:34+03:00,+ГО,verify,apksigner + aapt2 + jarsigner,release artifacts,"real key CN=Ivan Korostelev, not debuggable, no .debug suffix",G2,,debug apk in the same directory carries CN=Android Debug
57,2026-08-16T10:07:34+03:00,+ГО,verify,zip entry size analysis,app-release.apk,"native 4 ABIs 220MB, assets 45.92MB",G2,,ML Kit pose+OCR is about half the native weight
58,2026-08-16T10:07:34+03:00,+ГО,verify,Play download-size limit,support.google.com answer 9859372,"500MB base module, 200MB warning",G2,,arm64 download 107.2MB is inside both
59,2026-08-16T10:07:34+03:00,+ГО,verify,Play target API requirement,support.google.com answer 11926878,API 36 required from 2026-08-31,G2,,BLOCKER: artifact reports targetSdk 35
60,2026-08-16T10:07:34+03:00,+ГО,create,record the build,core/RELEASE_BUILD_2026-08-16.md,written,G2,,"not PRODUCTION_MANIFEST, which is generated from live APIs"
61,2026-08-16T10:08:05+03:00,+ГО|КОМИТ,record,git commit,core/,committed,G2,39f4095,"4 files, 225 insertions"
62,2026-08-16T10:23:41+03:00,+ГО,verify,read all 5 known-wrong cards in both locales,mobile/assets/data,all 5 defects still present,C1,,
63,2026-08-16T10:23:41+03:00,+ГО,create,build a correction tool with a byte-exact before-guard,tools/catalog/correct_exercise_text.py,created,C1,,"merge_exercise_text.py refuses to overwrite by design; this is the other half, not a force flag"
64,2026-08-16T10:23:41+03:00,+ГО,test,first dry run,c1_known_wrong_2026-08-16.json,6 refusals,C1,,the authored batches had already drifted from the shipped catalogue
65,2026-08-16T10:23:41+03:00,+ГО,edit,record batch drift as batch_before and re-run,tools/catalog,13 corrections applied,C1,,"4 cards, both locales, plus 3 batch files"
66,2026-08-16T10:23:41+03:00,+ГО,edit,only write batches actually changed,correct_exercise_text.py,fixed,C1,,avoid reformatting untouched evidence files
67,2026-08-16T10:23:41+03:00,+ГО,create,withhold the non-exercise row,assets/data/exercises_quarantine.json + AssetEquipmentRepository,filtered at the single load path,C1,,row kept so the 1887-id audit cross-reference stays exact
68,2026-08-16T10:23:41+03:00,+ГО,create,17 regression tests with controls,mobile/test/features/equipment,pass,C1,,
69,2026-08-16T10:23:41+03:00,+ГО,test,12 mutations,catalog corrections + quarantine,"12/12 detected, restore green",C1,,"includes withhold-everything, which passes every absence assertion"
70,2026-08-16T10:23:41+03:00,+ГО,test,flutter test,mobile/,2619 passed / 0 failed,C1,,2602 before; 17 added
