index,id,title,group,has_purpose,priority,visual_status,poster_ref_status,safety_tags,issue_codes,fields,findings,recommended_actions,original_purpose,proposed_purpose,original_steps,proposed_steps,poster_src
11,ea_ab_wheel_left_out,AB Wheel Left Out,Abdominals,False,PASS,NOT_VERIFIED,PASS,,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Start by kneeling on a mat with the ab wheel placed on the floor in front of you, holding it with both hands. Ensure your arms are extended and your back is straight || Roll the ab wheel forward and to the left, extending your body into a partial straight line while keeping your core engaged and your hips slightly extended backward || Roll the ab wheel back to the starting position, using your core muscles to control the movement and maintain stability || Repeat the movement, rolling out to the left and returning to the starting position each time","Start by kneeling on a mat with the ab wheel placed on the floor in front of you, holding it with both hands. Ensure your arms are extended and your back is straight || Roll the ab wheel forward and to the left, extending your body into a partial straight line while keeping your core engaged and your hips slightly extended backward || Roll the ab wheel back to the starting position, using your core muscles to control the movement and maintain stability || Repeat the movement, rolling out to the left and returning to the starting position each time",../../mobile/assets/posters/girl/ea_ab_wheel_left_out.jpg
12,ea_ab_wheel_pulses,AB Wheel Pulses,Abdominals,False,PASS,NOT_VERIFIED,PASS,,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Start by lying on the floor with your arms extended overhead, holding the ab wheel with both hands || Engage your core by lifting your upper body off the floor slightly, performing a small crunch while keeping your arms extended and the ab wheel overhead || Perform small pulsing crunches, lifting and lowering your upper body slightly while maintaining tension in your core || Continue the pulsing movement for the desired number of repetitions, keeping your arms extended and the ab wheel steady","Start by lying on the floor with your arms extended overhead, holding the ab wheel with both hands || Engage your core by lifting your upper body off the floor slightly, performing a small crunch while keeping your arms extended and the ab wheel overhead || Perform small pulsing crunches, lifting and lowering your upper body slightly while maintaining tension in your core || Continue the pulsing movement for the desired number of repetitions, keeping your arms extended and the ab wheel steady",../../mobile/assets/posters/girl/ea_ab_wheel_pulses.jpg
13,ea_ab_wheel_right_out,AB Wheel Right Out,Abdominals,False,PASS,NOT_VERIFIED,PASS,,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Start by kneeling on a mat with the ab wheel placed on the floor in front of you, holding it with both hands. Ensure your arms are extended and your back is straight || Roll the ab wheel forward and to the right, extending your body into a partial straight line while keeping your core engaged and your hips slightly extended backward || Roll the ab wheel back to the starting position, using your core muscles to control the movement and maintain stability || Repeat the movement, rolling out to the right and returning to the starting position each time","Start by kneeling on a mat with the ab wheel placed on the floor in front of you, holding it with both hands. Ensure your arms are extended and your back is straight || Roll the ab wheel forward and to the right, extending your body into a partial straight line while keeping your core engaged and your hips slightly extended backward || Roll the ab wheel back to the starting position, using your core muscles to control the movement and maintain stability || Repeat the movement, rolling out to the right and returning to the starting position each time",../../mobile/assets/posters/girl/ea_ab_wheel_right_out.jpg
14,ea_ab_wheel_take_it_or_leave_it,AB Wheel Take It or Leave It,Abdominals,False,PASS,NOT_VERIFIED,PASS,,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Lie on your back with your legs bent at 90 degrees and your feet off the floor, forming a tabletop position. Hold the AB wheel overhead with both hands, keeping your arms straight || Engage your core and lift your chest towards your knees to perform a crunch, bringing the AB wheel towards your shins || Place the AB wheel gently on your shins and lower your upper body back to the floor, keeping your legs in the tabletop position || Perform another crunch, reaching up to grab the AB wheel from your shins, and then lower your upper body back to the floor. Repeat for the desired number of repetitions","Lie on your back with your legs bent at 90 degrees and your feet off the floor, forming a tabletop position. Hold the AB wheel overhead with both hands, keeping your arms straight || Engage your core and lift your chest towards your knees to perform a crunch, bringing the AB wheel towards your shins || Place the AB wheel gently on your shins and lower your upper body back to the floor, keeping your legs in the tabletop position || Perform another crunch, reaching up to grab the AB wheel from your shins, and then lower your upper body back to the floor. Repeat for the desired number of repetitions",../../mobile/assets/posters/girl/ea_ab_wheel_take_it_or_leave_it.jpg
15,ea_ab_mat_sit_up,Ab Mat Sit-up,Abdominals,False,PASS,NOT_VERIFIED,PASS,lower_back; neck,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Sit on the floor with a yoga mat placed under your lower back, knees bent facing outwards, and feet  on the floor touching together. Hands behind your head || Lean back to lie down, keeping your arms behind your head || Use your core muscles to sit your torso up, return to the starting position and repeat","Sit on the floor with a yoga mat placed under your lower back, knees bent facing outwards, and feet  on the floor touching together. Hands behind your head || Lean back to lie down, keeping your arms behind your head || Use your core muscles to sit your torso up, return to the starting position and repeat",../../mobile/assets/posters/girl/ea_ab_mat_sit_up.jpg
16,ea_ab_tuck,Ab Tuck,Abdominals,False,PASS,NOT_VERIFIED,PASS,,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Start by hanging on a dip station, holding the parallel bars with your arms extended and your body straight || Lift your knees towards your chest while lightly extending your hips backward, engaging your core muscles || Extend your legs back downwards to starting position || Repeat the movement","Start by hanging on a dip station, holding the parallel bars with your arms extended and your body straight || Lift your knees towards your chest while lightly extending your hips backward, engaging your core muscles || Extend your legs back downwards to starting position || Repeat the movement",../../mobile/assets/posters/girl/ea_ab_tuck.jpg
17,ea_abdominal_crunches,Abdominal Crunches,Abdominals,False,P2,NOT_VERIFIED,PASS,lower_back; neck,VAGUE_HOLD,Steps,Uses vague timing ('hold for a while/few seconds').,"Use an explicit short pause such as 1–2 seconds, or a defined static-stretch duration when appropriate.",[not written — H3 pending],[not generated in this audit — H3 pending],"Lie on your back with knees slightly bent, feet placed on the floor and arms raised to the shoulder height || Squeeze your abdominals and lift your upper back off the floor, reaching forward with your arms || Hold for few seconds and slowly return to the starting position","Lie on your back with knees slightly bent, feet placed on the floor and arms raised to the shoulder height || Squeeze your abdominals and lift your upper back off the floor, reaching forward with your arms || pause briefly for 1–2 seconds and slowly return to the starting position",../../mobile/assets/posters/girl/ea_abdominal_crunches.jpg
18,ea_abdominal_crunches_machine,Abdominal Crunches Machine,Abdominals,False,PASS,NOT_VERIFIED,PASS,lower_back; neck,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Adjust the seat and resistance to your desired settings on the abdominal crunch machine. Sit on the seat and position your feet securely on the footrests || Grab the handles, ensuring your elbows are pointed forward || Engage your core muscles and crunch your abdominals by pulling your upper body forward and curling your chest towards your knees || Hold the crunch for a second, then slowly return to the starting position with control. Repeat for the desired number of repetitions","Adjust the seat and resistance to your desired settings on the abdominal crunch machine. Sit on the seat and position your feet securely on the footrests || Grab the handles, ensuring your elbows are pointed forward || Engage your core muscles and crunch your abdominals by pulling your upper body forward and curling your chest towards your knees || Hold the crunch for a second, then slowly return to the starting position with control. Repeat for the desired number of repetitions",../../mobile/assets/posters/girl/ea_abdominal_crunches_machine.jpg
19,ea_abdominal_crunches_with_hold,Abdominal Crunches with Hold,Abdominals,False,P1,NOT_VERIFIED,PASS,lower_back; neck,MALFORMED_STEP; TOO_FEW_STEPS,Steps,"A list item contains embedded numbering/formatting from another step, so the sequence is malformed. | Only 2 step(s) are present; setup/execution/return may be underspecified.","Split the embedded instruction into its own step and normalize numbering/punctuation. | Expand to clear setup, execution, control/return and stop/ROM cues where applicable.",[not written — H3 pending],[not generated in this audit — H3 pending],Lie on your back with knees slightly bent and feet placed on the floor || Inhale and try reaching forward with straight arms while lifting your upper back off the floor.                                                                   3. Hold the end position for few seconds and slowly return to the starting position,Lie on your back with knees slightly bent and feet placed on the floor || Inhale and try reaching forward with straight arms while lifting your upper back off the floor. Hold the end position for few seconds and slowly return to the starting position,../../mobile/assets/posters/girl/ea_abdominal_crunches_with_hold.jpg
20,ea_abs_snails,Abs Snails,Abdominals,True,P2,PASS,PASS,,LOWER_ABS_TERM,Purpose/Steps,Uses 'lower stomach/lower abs' as if it were a separate muscle compartment.,Use 'abdominals/rectus abdominis' and describe the movement (for example posterior pelvic tilt or hip flexion control) instead.,Rolling the hips up over the shoulders trains the lower part of the stomach through a much longer range than a crunch. It also teaches the spine to move one segment at a time instead of hinging in one place.,Trains the abdominals and trunk control through the Abs Snails movement. Use a controlled range and keep the movement symptom-free.,"Lie on your back with your arms flat on the floor beside you, palms down || Lift your legs until your feet point at the ceiling || Press your lower back into the floor and squeeze your stomach || Curl your hips off the floor and roll your legs back over your chest || Lower slowly, one part of the spine at a time, until your hips touch down again","Lie on your back with your arms flat on the floor beside you, palms down || Lift your legs until your feet point at the ceiling || Press your lower back into the floor and squeeze your stomach || Curl your hips off the floor and roll your legs back over your chest || Lower slowly, one part of the spine at a time, until your hips touch down again",../../mobile/assets/posters/girl/ea_abs_snails.jpg
21,ea_air_bike,Air Bike,Abdominals,False,PASS,NOT_VERIFIED,PASS,,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Lie on your back with your hands behind your head and your knees bent at a 90-degree angle || Lift your back off the floor, engaging your core || Bring your right elbow towards your left knee while extending your right leg slightly || Lower your back to the floor and repeat, bringing your left elbow towards your right knee while extending your left leg lightly","Lie on your back with your hands behind your head and your knees bent at a 90-degree angle || Lift your back off the floor, engaging your core || Bring your right elbow towards your left knee while extending your right leg slightly || Lower your back to the floor and repeat, bringing your left elbow towards your right knee while extending your left leg lightly",../../mobile/assets/posters/girl/ea_air_bike.jpg
22,ea_air_bike_version_2,Air Bike (version 2),Abdominals,False,PASS,NOT_VERIFIED,PASS,,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Lie on your back with your hands behind your head and your knees bent at a 90-degree angle || Lift your shoulders off the floor, engaging your core || Bring your right elbow towards your left knee while extending your right leg straight || Switch sides, bringing your left elbow towards your right knee while extending your left leg straight. Continue alternating sides in a pedaling motion","Lie on your back with your hands behind your head and your knees bent at a 90-degree angle || Lift your shoulders off the floor, engaging your core || Bring your right elbow towards your left knee while extending your right leg straight || Switch sides, bringing your left elbow towards your right knee while extending your left leg straight. Continue alternating sides in a pedaling motion",../../mobile/assets/posters/girl/ea_air_bike_version_2.jpg
23,ea_air_bike_crunch,Air Bike Crunch,Abdominals,False,PASS,NOT_VERIFIED,PASS,lower_back; neck,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Lie on your back with your hands behind your head and your knees bent at a 90-degree angle || Lift your shoulders off the floor, engaging your core || Bring your right elbow towards your left knee while extending your right leg lightly || Switch sides, bringing your left elbow towards your right knee while extending your left leg lightly. Continue alternating sides in a pedaling motion","Lie on your back with your hands behind your head and your knees bent at a 90-degree angle || Lift your shoulders off the floor, engaging your core || Bring your right elbow towards your left knee while extending your right leg lightly || Switch sides, bringing your left elbow towards your right knee while extending your left leg lightly. Continue alternating sides in a pedaling motion",../../mobile/assets/posters/men/ea_air_bike_crunch.jpg
24,ea_air_twisting_crunch,Air Twisting Crunch,Abdominals,False,PASS,NOT_VERIFIED,PASS,lower_back; neck,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],Lie down on your back with your knees bent and heels on the floor || Place your hands behind your head || Raise your chest and twist your torso to one side while bringing the opposite knee close || Return to the initial position and repeat by twisting towards the other side,Lie down on your back with your knees bent and heels on the floor || Place your hands behind your head || Raise your chest and twist your torso to one side while bringing the opposite knee close || Return to the initial position and repeat by twisting towards the other side,../../mobile/assets/posters/girl/ea_air_twisting_crunch.jpg
25,ea_alternate_arm_leg_plank,Alternate Arm Leg Plank,Abdominals,False,PASS,NOT_VERIFIED,PASS,elbow; wrist,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Start in a plank position with your hands directly under your shoulders and your body forming a straight line from head to heels || Lift your right arm and left leg simultaneously, extending them straight out while maintaining balance. Hold briefly, then lower back to the plank position || Lift your left arm and right leg simultaneously, extending them straight out and holding briefly before returning to the plank position || Continue alternating sides, lifting opposite arms and legs","Start in a plank position with your hands directly under your shoulders and your body forming a straight line from head to heels || Lift your right arm and left leg simultaneously, extending them straight out while maintaining balance. Hold briefly, then lower back to the plank position || Lift your left arm and right leg simultaneously, extending them straight out and holding briefly before returning to the plank position || Continue alternating sides, lifting opposite arms and legs",../../mobile/assets/posters/men/ea_alternate_arm_leg_plank.jpg
26,ea_alternate_arm_leg_plank_hold,Alternate Arm Leg Plank Hold,Abdominals,False,PASS,NOT_VERIFIED,PASS,elbow; wrist,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Start in a plank position with your elbows directly under your shoulders and your body forming a straight line from head to heels || Lift your right arm and left leg simultaneously, extending them straight out while maintaining balance. Hold this position for a brief period of 1-2 seconds || Lower your right arm and left leg back to the plank position || Lift your left arm and right leg simultaneously, extending them straight out and holding for a brief period of 1-2 seconds before returning to the plank position","Start in a plank position with your elbows directly under your shoulders and your body forming a straight line from head to heels || Lift your right arm and left leg simultaneously, extending them straight out while maintaining balance. Hold this position for a brief period of 1-2 seconds || Lower your right arm and left leg back to the plank position || Lift your left arm and right leg simultaneously, extending them straight out and holding for a brief period of 1-2 seconds before returning to the plank position",../../mobile/assets/posters/men/ea_alternate_arm_leg_plank_hold.jpg
27,ea_alternate_arm_leg_plank_rest_pause,Alternate Arm Leg Plank Rest Pause,Abdominals,False,PASS,NOT_VERIFIED,PASS,elbow; wrist,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Start in a plank position with your elbows directly under your shoulders and your body forming a straight line from head to heels || Lift your right arm and left leg simultaneously, extending them straight out while maintaining balance. Then lower back to the plank position and pause for a few seconds || Lift your left arm and right leg simultaneously, extending them straight out and return to the plank position and pause for a few seconds || Continue alternating sides, lifting opposite arms and legs with a brief pause in the plank position","Start in a plank position with your elbows directly under your shoulders and your body forming a straight line from head to heels || Lift your right arm and left leg simultaneously, extending them straight out while maintaining balance. Then lower back to the plank position and pause for a few seconds || Lift your left arm and right leg simultaneously, extending them straight out and return to the plank position and pause for a few seconds || Continue alternating sides, lifting opposite arms and legs with a brief pause in the plank position",../../mobile/assets/posters/men/ea_alternate_arm_leg_plank_rest_pause.jpg
28,ea_alternate_heel_touches,Alternate Heel Touches,Abdominals,False,PASS,NOT_VERIFIED,PASS,,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Lie on your back with your knees bent and feet flat on the floor, hip-width apart. Lift your shoulders slightly off the floor, engaging your core || Reach your right hand towards your right heel, then return to the center position || Reach your left hand towards your left heel. Continue alternating sides in this manner","Lie on your back with your knees bent and feet flat on the floor, hip-width apart. Lift your shoulders slightly off the floor, engaging your core || Reach your right hand towards your right heel, then return to the center position || Reach your left hand towards your left heel. Continue alternating sides in this manner",../../mobile/assets/posters/men/ea_alternate_heel_touches.jpg
29,ea_alternate_leg_pull,Alternate Leg Pull,Abdominals,False,PASS,NOT_VERIFIED,PASS,lower_back,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Lie on your back with your legs extended straight at 45 degrees off the floor and your arms extended overhead in line with your torso || Lift your shoulders off the mat, engaging your core, and simultaneously bring your right knee towards your chest while swinging both arms in an arc motion until parallel to the floor || Straighten your right leg, and lower your arms and shoulders back to the starting position || Repeat the movement with your left leg, bringing it towards your chest between your straight arms. Continue alternating sides in this manner","Lie on your back with your legs extended straight at 45 degrees off the floor and your arms extended overhead in line with your torso || Lift your shoulders off the mat, engaging your core, and simultaneously bring your right knee towards your chest while swinging both arms in an arc motion until parallel to the floor || Straighten your right leg, and lower your arms and shoulders back to the starting position || Repeat the movement with your left leg, bringing it towards your chest between your straight arms. Continue alternating sides in this manner",../../mobile/assets/posters/girl/ea_alternate_leg_pull.jpg
30,ea_alternate_leg_raise,Alternate Leg Raise,Abdominals,False,PASS,NOT_VERIFIED,PASS,lower_back,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Lie down on your back with your arms resting on the floor by your side || Raise your legs straight in the air, making a 90-degree angle with your torso || Lower one of your legs and bring it back just before touching the floor || Do the same with your other leg, and repeat","Lie down on your back with your arms resting on the floor by your side || Raise your legs straight in the air, making a 90-degree angle with your torso || Lower one of your legs and bring it back just before touching the floor || Do the same with your other leg, and repeat",../../mobile/assets/posters/girl/ea_alternate_leg_raise.jpg
31,ea_alternate_leg_raise_from_reverse_plank_position,Alternate Leg Raise From Reverse Plank Position,Abdominals,False,P1,NOT_VERIFIED,PASS,elbow; lower_back; wrist,FORCED_ROM,Steps,Unqualified maximum-range cue may push a user beyond the range they can control without symptoms or compensation.,"Use the largest controlled, pain-free range available without compensation; regress range if alignment or symptoms deteriorate.",[not written — H3 pending],[not generated in this audit — H3 pending],"Lie down on your hips with your arms resting on the floor by your side and your legs extended forward || Raise your upper back, bring your elbows under the shoulders, and bear weight on your forearms with your palms down || Alternately raise and lower your legs to your maximum range while keeping them straight","Lie down on your hips with your arms resting on the floor by your side and your legs extended forward || Raise your upper back, bring your elbows under the shoulders, and bear weight on your forearms with your palms down || Alternately raise and lower your legs to your maximum range while keeping them straight",../../mobile/assets/posters/girl/ea_alternate_leg_raise_from_reverse_plank_position.jpg
32,ea_alternate_leg_raise_with_head_up,Alternate Leg Raise with Head Up,Abdominals,False,PASS,NOT_VERIFIED,PASS,lower_back,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Lie down on your back with your arms resting on the floor by your side || Raise your head and upper back off the floor, and lift your legs straight in the air, making a 90-degree angle with your torso || Lower one of your legs and bring it back just before touching the floor || Do the same with your other leg, and repeat","Lie down on your back with your arms resting on the floor by your side || Raise your head and upper back off the floor, and lift your legs straight in the air, making a 90-degree angle with your torso || Lower one of your legs and bring it back just before touching the floor || Do the same with your other leg, and repeat",../../mobile/assets/posters/girl/ea_alternate_leg_raise_with_head_up.jpg
33,ea_alternate_lying_floor_leg_raise,Alternate Lying Floor Leg Raise,Abdominals,False,PASS,NOT_VERIFIED,PASS,lower_back,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Lie on your back with your legs extended straight and your arms resting by your sides || Lift both legs, straight towards the ceiling until they go past your hips || Lower your legs halfway down, then lift them back up towards the ceiling || Lower your legs back down to the initial position. Repeat the movement","Lie on your back with your legs extended straight and your arms resting by your sides || Lift both legs, straight towards the ceiling until they go past your hips || Lower your legs halfway down, then lift them back up towards the ceiling || Lower your legs back down to the initial position. Repeat the movement",../../mobile/assets/posters/girl/ea_alternate_lying_floor_leg_raise.jpg
34,ea_alternate_oblique_crunch,Alternate Oblique Crunch,Abdominals,False,PASS,NOT_VERIFIED,PASS,lower_back; neck,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],Lie down on your back and fold your knees while keeping your feet on the floor || Place your right hand behind your head and your left hand on the floor for support || Raise and twist your chest to your left and bring your right elbow towards the left knee || Return to the starting position and repeat,Lie down on your back and fold your knees while keeping your feet on the floor || Place your right hand behind your head and your left hand on the floor for support || Raise and twist your chest to your left and bring your right elbow towards the left knee || Return to the starting position and repeat,../../mobile/assets/posters/girl/ea_alternate_oblique_crunch.jpg
